,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,12976128,112617384.33333333,200000000,50462720,1429504,2018-10-08T21:37:09.092136963Z,337852153,110000000
1,12976128,112786912.66666667,200000000,50462720,1429504,2018-10-08T21:37:10.094365862Z,338360738,110000000
2,12967936,112931527.66666667,200000000,50462720,1429504,2018-10-08T21:37:11.098436065Z,338794583,110000000
3,12894208,113076842.33333333,200000000,50462720,1429504,2018-10-08T21:37:12.100846897Z,339230527,110000000
4,13025280,113277794.66666667,200000000,50462720,1429504,2018-10-08T21:37:13.105894594Z,339833384,110000000
5,13025280,113420743.66666667,200000000,50462720,1429504,2018-10-08T21:37:14.108505952Z,340262231,110000000
6,12865536,113566695.66666667,200000000,50462720,1429504,2018-10-08T21:37:15.111919822Z,340700087,110000000
7,12865536,113748862.66666667,200000000,50462720,1429504,2018-10-08T21:37:16.117047463Z,341246588,110000000
8,12853248,113849426.33333333,200000000,50462720,1429504,2018-10-08T21:37:17.120447346Z,341548279,110000000
9,12853248,113958091.33333333,200000000,50462720,1429504,2018-10-08T21:37:18.125367008Z,341874274,110000000
10,12800000,114054855.0,200000000,50462720,1429504,2018-10-08T21:37:19.127372694Z,342164565,110000000
11,12800000,114182361.0,200000000,50462720,1429504,2018-10-08T21:37:20.133090695Z,342547083,110000000
12,12767232,114308671.66666667,200000000,50462720,1429504,2018-10-08T21:37:21.135749756Z,342926015,110000000
13,12767232,114433910.66666667,200000000,50462720,1429504,2018-10-08T21:37:22.137810695Z,343301732,110000000
14,12759040,114544411.33333333,200000000,50462720,1429504,2018-10-08T21:37:23.140513622Z,343633234,110000000
15,12890112,114705216.33333333,200000000,50462720,1429504,2018-10-08T21:37:24.142535275Z,344115649,110000000
16,12881920,114835793.66666667,200000000,50462720,1429504,2018-10-08T21:37:25.144820297Z,344507381,110000000
17,12881920,114988241.66666667,200000000,50462720,1429504,2018-10-08T21:37:26.147660442Z,344964725,110000000
18,12877824,115156188.33333333,200000000,50462720,1429504,2018-10-08T21:37:27.152149854Z,345468565,110000000
19,12877824,115280823.33333333,200000000,50462720,1429504,2018-10-08T21:37:28.154743427Z,345842470,110000000
20,12877824,115391162.0,200000000,50462720,1429504,2018-10-08T21:37:29.158059165Z,346173486,110000000
21,12877824,115516552.66666667,200000000,50462720,1429504,2018-10-08T21:37:30.161266297Z,346549658,110000000
22,12877824,115686099.33333333,200000000,50462720,1429504,2018-10-08T21:37:31.165388233Z,347058298,110000000
23,12877824,115799057.66666667,200000000,50462720,1429504,2018-10-08T21:37:32.167541702Z,347397173,110000000
24,12877824,115944038.0,200000000,50462720,1429504,2018-10-08T21:37:33.169628598Z,347832114,110000000
25,12881920,116111435.66666667,200000000,50462720,1429504,2018-10-08T21:37:34.173809391Z,348334307,110000000
26,12881920,116246750.66666667,200000000,50462720,1429504,2018-10-08T21:37:35.177385824Z,348740252,110000000
27,12881920,116389491.66666667,200000000,50462720,1429504,2018-10-08T21:37:36.179445665Z,349168475,110000000
28,12881920,116499526.33333333,200000000,50462720,1429504,2018-10-08T21:37:37.162113754Z,349498579,110000000
29,12754944,116610351.0,200000000,50462720,1429504,2018-10-08T21:37:38.168210256Z,349831053,110000000
30,12754944,116714637.33333333,200000000,50462720,1429504,2018-10-08T21:37:39.170153761Z,350143912,110000000
31,12754944,116864909.33333333,200000000,50462720,1429504,2018-10-08T21:37:40.174574842Z,350594728,110000000
32,12754944,116994327.0,200000000,50462720,1429504,2018-10-08T21:37:41.180184342Z,350982981,110000000
33,12754944,117086229.66666667,200000000,50462720,1429504,2018-10-08T21:37:42.184117904Z,351258689,110000000
