,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,13119488,105778547.66666667,230000000,51175424,1437696,2018-10-08T21:12:53.700432358Z,317335643,90000000
1,13250560,105905044.0,230000000,51175424,1437696,2018-10-08T21:12:54.704103491Z,317715132,90000000
2,13139968,105998831.0,230000000,51175424,1437696,2018-10-08T21:12:55.711877257Z,317996493,90000000
3,13139968,106057903.33333333,230000000,51175424,1437696,2018-10-08T21:12:56.714497938Z,318173710,90000000
4,13139968,106132251.66666667,230000000,51175424,1437696,2018-10-08T21:12:57.716684819Z,318396755,90000000
5,13139968,106192849.33333333,230000000,51175424,1437696,2018-10-08T21:12:58.719816733Z,318578548,90000000
6,13090816,106253347.66666667,230000000,51175424,1437696,2018-10-08T21:12:59.722224807Z,318760043,90000000
7,13090816,106311211.0,230000000,51175424,1437696,2018-10-08T21:13:00.724654949Z,318933633,90000000
8,13062144,106375560.0,230000000,51175424,1437696,2018-10-08T21:13:01.728088428Z,319126680,90000000
9,13062144,106438571.66666667,230000000,51175424,1437696,2018-10-08T21:13:02.73025054Z,319315715,90000000
10,12996608,106509389.33333333,230000000,51175424,1437696,2018-10-08T21:13:03.73249196Z,319528168,90000000
11,12996608,106575485.66666667,230000000,51175424,1437696,2018-10-08T21:13:04.734469405Z,319726457,90000000
12,12963840,106632091.33333333,230000000,51175424,1437696,2018-10-08T21:13:05.738128594Z,319896274,90000000
13,12963840,106715340.0,230000000,51175424,1437696,2018-10-08T21:13:06.74684725Z,320146020,90000000
14,12959744,106781216.66666667,230000000,51175424,1437696,2018-10-08T21:13:07.757651902Z,320343650,90000000
15,12935168,106847926.66666667,230000000,51175424,1437696,2018-10-08T21:13:08.741463822Z,320543780,90000000
16,12935168,106922221.33333333,230000000,51175424,1437696,2018-10-08T21:13:09.750627921Z,320766664,90000000
17,12935168,107003975.33333333,230000000,51175424,1437696,2018-10-08T21:13:10.755444217Z,321011926,90000000
18,12935168,107072015.33333333,230000000,51175424,1437696,2018-10-08T21:13:11.75946783Z,321216046,90000000
19,12935168,107148058.66666667,230000000,51175424,1437696,2018-10-08T21:13:12.761591783Z,321444176,90000000
20,12931072,107213432.33333333,230000000,51175424,1437696,2018-10-08T21:13:13.765640269Z,321640297,90000000
21,12877824,107273893.33333333,230000000,51175424,1437696,2018-10-08T21:13:14.772570132Z,321821680,90000000
22,12877824,107350985.66666667,230000000,51175424,1437696,2018-10-08T21:13:15.781179408Z,322052957,90000000
23,12877824,107408658.0,230000000,51175424,1437696,2018-10-08T21:13:16.787806472Z,322225974,90000000
24,12877824,107476083.66666667,230000000,51175424,1437696,2018-10-08T21:13:17.790384562Z,322428251,90000000
25,12877824,107546550.66666667,230000000,51175424,1437696,2018-10-08T21:13:18.795294604Z,322639652,90000000
26,12877824,107611287.33333333,230000000,51175424,1437696,2018-10-08T21:13:19.799352094Z,322833862,90000000
27,12877824,107672015.0,230000000,51175424,1437696,2018-10-08T21:13:20.806318881Z,323016045,90000000
28,12877824,107741200.33333333,230000000,51175424,1437696,2018-10-08T21:13:21.810361592Z,323223601,90000000
29,12877824,107906065.33333333,230000000,51175424,1437696,2018-10-08T21:13:22.812708942Z,323718196,90000000
30,12877824,107966625.33333333,230000000,51175424,1437696,2018-10-08T21:13:23.816050893Z,323899876,90000000
31,12877824,108044079.66666667,230000000,51175424,1437696,2018-10-08T21:13:24.826647657Z,324132239,90000000
32,12877824,108107184.33333333,230000000,51175424,1437696,2018-10-08T21:13:25.82968433Z,324321553,90000000
33,12877824,108184262.66666667,230000000,51175424,1437696,2018-10-08T21:13:26.834216743Z,324552788,90000000
34,13008896,108265356.0,230000000,51175424,1437696,2018-10-08T21:13:27.844894974Z,324796068,90000000
35,12886016,108329835.33333333,230000000,51175424,1437696,2018-10-08T21:13:28.855689107Z,324989506,90000000
36,12886016,108380369.0,230000000,51175424,1437696,2018-10-08T21:13:29.860492164Z,325141107,90000000
37,12886016,108450022.66666667,230000000,51175424,1437696,2018-10-08T21:13:30.8684441Z,325350068,90000000
38,12886016,108505902.66666667,230000000,51175424,1437696,2018-10-08T21:13:31.880407177Z,325517708,90000000
39,12886016,108568237.66666667,230000000,51175424,1437696,2018-10-08T21:13:32.886761065Z,325704713,90000000
40,12886016,108629560.0,230000000,51175424,1437696,2018-10-08T21:13:33.890517438Z,325888680,90000000
41,12886016,108685996.0,230000000,51175424,1437696,2018-10-08T21:13:34.895973622Z,326057988,90000000
42,12886016,108749019.33333333,230000000,51175424,1437696,2018-10-08T21:13:35.898437056Z,326247058,90000000
43,12886016,108806729.0,230000000,51175424,1437696,2018-10-08T21:13:36.905779138Z,326420187,90000000
44,12886016,108868855.33333333,230000000,51175424,1437696,2018-10-08T21:13:37.889320133Z,326606566,90000000
45,12886016,108936779.33333333,230000000,51175424,1437696,2018-10-08T21:13:38.89308778Z,326810338,90000000
46,12886016,109019762.33333333,230000000,51175424,1437696,2018-10-08T21:13:39.901885735Z,327059287,90000000
47,12886016,109087825.0,230000000,51175424,1437696,2018-10-08T21:13:40.914341866Z,327263475,90000000
48,12886016,109164867.33333333,230000000,51175424,1437696,2018-10-08T21:13:41.918669067Z,327494602,90000000
49,12886016,109232114.66666667,230000000,51175424,1437696,2018-10-08T21:13:42.931397439Z,327696344,90000000
50,12886016,109295269.0,230000000,51175424,1437696,2018-10-08T21:13:43.935943564Z,327885807,90000000
51,12886016,109357326.33333333,230000000,51175424,1437696,2018-10-08T21:13:44.946544774Z,328071979,90000000
52,12886016,109422314.33333333,230000000,51175424,1437696,2018-10-08T21:13:45.958595623Z,328266943,90000000
53,12886016,109475701.0,230000000,51175424,1437696,2018-10-08T21:13:46.962855489Z,328427103,90000000
54,12886016,109564018.66666667,230000000,51175424,1437696,2018-10-08T21:13:47.972741617Z,328692056,90000000
55,12886016,109633313.66666667,230000000,51175424,1437696,2018-10-08T21:13:48.981460287Z,328899941,90000000
56,12886016,109703607.0,230000000,51175424,1437696,2018-10-08T21:13:49.993360486Z,329110821,90000000
57,12886016,109766330.0,230000000,51175424,1437696,2018-10-08T21:13:50.995891883Z,329298990,90000000
58,12886016,109823415.33333333,230000000,51175424,1437696,2018-10-08T21:13:52.004839478Z,329470246,90000000
59,12886016,109886749.66666667,230000000,51175424,1437696,2018-10-08T21:13:53.013029828Z,329660249,90000000
60,12886016,109969394.33333333,230000000,51175424,1437696,2018-10-08T21:13:54.015552319Z,329908183,90000000
61,12886016,110037557.0,230000000,51175424,1437696,2018-10-08T21:13:55.01768773Z,330112671,90000000
62,12886016,110106597.66666667,230000000,51175424,1437696,2018-10-08T21:13:56.021496797Z,330319793,90000000
63,12886016,110171847.33333333,230000000,51175424,1437696,2018-10-08T21:13:57.030512147Z,330515542,90000000
64,12886016,110247699.33333333,230000000,51175424,1437696,2018-10-08T21:13:58.035817262Z,330743098,90000000
65,12886016,110317816.0,230000000,51175424,1437696,2018-10-08T21:13:59.045985318Z,330953448,90000000
66,12886016,110390460.0,230000000,51175424,1437696,2018-10-08T21:14:00.05282581Z,331171380,90000000
67,12886016,110459116.66666667,230000000,51175424,1437696,2018-10-08T21:14:01.065035939Z,331377350,90000000
68,12886016,110548991.66666667,230000000,51175424,1437696,2018-10-08T21:14:02.077412195Z,331646975,90000000
69,12886016,110616891.0,230000000,51175424,1437696,2018-10-08T21:14:03.089665819Z,331850673,90000000
70,12886016,110701896.0,230000000,51175424,1437696,2018-10-08T21:14:04.092492106Z,332105688,90000000
71,12886016,110768273.66666667,230000000,51175424,1437696,2018-10-08T21:14:05.097677863Z,332304821,90000000
72,12886016,110854026.33333333,230000000,51175424,1437696,2018-10-08T21:14:06.101403579Z,332562079,90000000
73,12886016,110932834.66666667,230000000,51175424,1437696,2018-10-08T21:14:07.104519755Z,332798504,90000000
74,12886016,110992243.33333333,230000000,51175424,1437696,2018-10-08T21:14:08.089128311Z,332976730,90000000
75,12886016,111057754.0,230000000,51175424,1437696,2018-10-08T21:14:09.092332938Z,333173262,90000000
76,12886016,111116213.33333333,230000000,51175424,1437696,2018-10-08T21:14:10.095164556Z,333348640,90000000
