,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,84873216,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:11.46782513Z,102167102,30000000
1,84758528,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:12.47507461Z,102167102,30000000
2,84758528,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:13.481997243Z,102167102,30000000
3,84758528,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:14.464471573Z,102167102,30000000
4,84758528,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:15.46904786Z,102167102,30000000
5,84750336,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:16.474322731Z,102167102,30000000
6,84750336,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:17.478838316Z,102167102,30000000
7,84750336,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:18.488303333Z,102167102,30000000
8,84750336,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:19.496262179Z,102167102,30000000
9,84742144,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:20.500164623Z,102167102,30000000
10,84738048,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:21.504635901Z,102167102,30000000
11,84738048,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:22.509929491Z,102167102,30000000
12,84733952,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:23.522321541Z,102167102,30000000
13,84733952,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:24.52920894Z,102167102,30000000
14,84717568,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:25.537014251Z,102167102,30000000
15,84717568,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:26.540995711Z,102167102,30000000
16,84713472,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:27.544049234Z,102167102,30000000
17,84713472,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:28.548261698Z,102167102,30000000
18,84713472,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:29.553342726Z,102167102,30000000
19,84713472,34055700.666666664,80000000,84873216,0,2018-10-09T07:36:30.557353031Z,102167102,30000000
20,339968,37853192.333333336,80000000,84873216,0,2018-10-09T07:36:31.55960843Z,113559577,30000000
