,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,449302528,225881916.66666666,550000000,449302528,323584,2018-10-09T05:32:32.432051405Z,677645750,130000000
1,916705280,560147677.6666666,1510000000,916705280,323584,2018-10-09T05:32:33.436202782Z,1680443033,170000000
2,1325912064,894080073.0,2460000000,1325912064,323584,2018-10-09T05:32:34.439061159Z,2682240219,230000000
3,1771556864,1228180129.0,3380000000,1771556864,323584,2018-10-09T05:32:35.442572535Z,3684540387,310000000
4,2180255744,1562565622.6666667,4310000000,2180255744,323584,2018-10-09T05:32:36.44636894Z,4687696868,390000000
5,2527588352,1897009785.0,5240000000,2527719424,323584,2018-10-09T05:32:37.451357216Z,5691029355,460000000
6,2880040960,2231252147.0,6190000000,2880040960,323584,2018-10-09T05:32:38.455554216Z,6693756441,510000000
7,3357802496,2565267197.0,7140000000,3357925376,323584,2018-10-09T05:32:39.459022976Z,7695801591,570000000
8,3573022720,2899140563.6666665,8080000000,3573022720,323584,2018-10-09T05:32:40.462500285Z,8697421691,630000000
9,3867000832,3233336712.0,9020000000,3867000832,323584,2018-10-09T05:32:41.466093017Z,9700010136,700000000
10,4389322752,3566960004.6666665,9880000000,4389322752,323584,2018-10-09T05:32:42.469596183Z,10700880014,840000000
11,4715945984,3901233350.3333335,10790000000,4715945984,323584,2018-10-09T05:32:43.473411084Z,11703700051,930000000
12,4931948544,4235346004.6666665,11770000000,4931952640,323584,2018-10-09T05:32:44.476619387Z,12706038014,960000000
13,5133406208,4571910460.333333,12720000000,5133406208,323584,2018-10-09T05:32:45.487487831Z,13715731381,1020000000
14,5512728576,4904320220.333333,13630000000,5512728576,323584,2018-10-09T05:32:46.490848412Z,14712960661,1110000000
15,5963870208,5237692751.0,14560000000,5963870208,323584,2018-10-09T05:32:47.493618469Z,15713078253,1180000000
16,6454079488,5571299413.333333,15470000000,6454079488,323584,2018-10-09T05:32:48.476649112Z,16713898240,1280000000
17,6663794688,5905069449.333333,16450000000,6663794688,323584,2018-10-09T05:32:49.478964074Z,17715208348,1300000000
18,6863024128,6239040570.333333,17410000000,6863024128,323584,2018-10-09T05:32:50.482268696Z,18717121711,1340000000
19,7068676096,6572020024.666667,18380000000,7068676096,323584,2018-10-09T05:32:51.485631893Z,19716060074,1380000000
20,7206039552,6904989054.333333,19340000000,7206039552,323584,2018-10-09T05:32:52.488720342Z,20714967163,1420000000
21,7586152448,7238903871.333333,20240000000,7586152448,323584,2018-10-09T05:32:53.492626956Z,21716711614,1520000000
22,7932968960,7572539480.666667,21180000000,7932968960,323584,2018-10-09T05:32:54.496360556Z,22717618442,1580000000
23,8272576512,7905517593.0,22100000000,8272576512,323584,2018-10-09T05:32:55.498948669Z,23716552779,1660000000
24,8359608320,8238452464.666667,23090000000,8359608320,323584,2018-10-09T05:32:56.501646781Z,24715357394,1670000000
25,8362315776,8572540948.333333,24080000000,8362315776,323584,2018-10-09T05:32:57.504651237Z,25717622845,1680000000
26,8365064192,8905631802.666666,25080000000,8365068288,323584,2018-10-09T05:32:58.508617205Z,26716895408,1680000000
27,8367554560,9238893439.0,26080000000,8367554560,323584,2018-10-09T05:32:59.511522092Z,27716680317,1680000000
28,8370184192,9572145126.333334,27070000000,8370184192,323584,2018-10-09T05:33:00.516255004Z,28716435379,1690000000
29,8373190656,9905328383.333334,28060000000,8373190656,323584,2018-10-09T05:33:01.518845636Z,29715985150,1700000000
30,8375549952,10239005939.0,29060000000,8375549952,323584,2018-10-09T05:33:02.521626672Z,30717017817,1700000000
31,8378040320,10572838737.0,30060000000,8378040320,323584,2018-10-09T05:33:03.525306004Z,31718516211,1700000000
32,8380661760,10906637711.666666,31060000000,8380661760,323584,2018-10-09T05:33:04.528610792Z,32719913135,1710000000
