,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,44433408,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:30.12072563Z,75218221,30000000
1,44318720,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:31.123785261Z,75218221,30000000
2,44318720,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:32.12729247Z,75218221,30000000
3,44318720,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:33.12969312Z,75218221,30000000
4,44318720,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:34.132839649Z,75218221,30000000
5,44310528,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:35.137251018Z,75218221,30000000
6,44310528,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:36.139730923Z,75218221,30000000
7,44310528,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:37.144257942Z,75218221,30000000
8,44302336,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:38.128200044Z,75218221,30000000
9,44302336,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:39.133521586Z,75218221,30000000
10,44290048,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:40.139034587Z,75218221,30000000
11,44290048,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:41.146032584Z,75218221,30000000
12,44273664,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:42.148234971Z,75218221,30000000
13,44273664,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:43.150893739Z,75218221,30000000
14,44273664,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:44.154391813Z,75218221,30000000
15,44273664,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:45.161131382Z,75218221,30000000
16,44265472,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:46.166751009Z,75218221,30000000
17,44265472,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:47.169284498Z,75218221,30000000
18,44265472,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:48.173396971Z,75218221,30000000
19,44261376,25072740.333333332,40000000,44433408,0,2018-10-08T21:10:49.175388685Z,75218221,30000000
