,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,576974848,258525380.66666666,620000000,576974848,180224,2018-10-09T03:22:06.825539965Z,775576142,160000000
1,579235840,591213834.6666666,1610000000,579235840,180224,2018-10-09T03:22:07.828071122Z,1773641504,170000000
2,580595712,924948476.0,2610000000,581201920,180224,2018-10-09T03:22:08.830113219Z,2774845428,170000000
3,578760704,1257733406.6666667,3610000000,586362880,180224,2018-10-09T03:22:09.833230247Z,3773200220,170000000
4,584966144,1594024216.0,4610000000,586362880,180224,2018-10-09T03:22:10.835808361Z,4782072648,180000000
5,588767232,1927373410.3333333,5610000000,588767232,180224,2018-10-09T03:22:11.837733373Z,5782120231,180000000
6,589029376,2259981765.6666665,6610000000,589029376,180224,2018-10-09T03:22:12.840282048Z,6779945297,180000000
7,587350016,2592608431.6666665,7560000000,596500480,180224,2018-10-09T03:22:13.84244312Z,7777825295,220000000
8,590090240,2928300500.3333335,8570000000,596500480,180224,2018-10-09T03:22:14.824313954Z,8784901501,220000000
9,594022400,3261850325.6666665,9560000000,596500480,180224,2018-10-09T03:22:15.826336496Z,9785550977,230000000
10,601477120,3594234908.6666665,10560000000,601477120,180224,2018-10-09T03:22:16.829537741Z,10782704726,230000000
11,601477120,3928085515.3333335,11560000000,601477120,180224,2018-10-09T03:22:17.832635451Z,11784256546,230000000
12,601870336,4264312268.6666665,12570000000,601870336,180224,2018-10-09T03:22:18.835820093Z,12792936806,230000000
13,601870336,4597358975.0,13560000000,601870336,180224,2018-10-09T03:22:19.840748412Z,13792076925,240000000
14,566140928,4933382901.666667,14550000000,616943616,180224,2018-10-09T03:22:20.84531186Z,14800148705,260000000
15,599957504,5266754594.0,15540000000,616943616,180224,2018-10-09T03:22:21.849147096Z,15800263782,270000000
16,603758592,5599759703.333333,16540000000,616943616,180224,2018-10-09T03:22:22.851796222Z,16799279110,270000000
17,604020736,5936094452.0,17550000000,616943616,180224,2018-10-09T03:22:23.855506684Z,17808283356,270000000
18,611487744,6269175596.666667,18550000000,616943616,180224,2018-10-09T03:22:24.859025141Z,18807526790,270000000
19,611880960,6602269225.333333,19550000000,616943616,180224,2018-10-09T03:22:25.862158715Z,19806807676,270000000
20,611880960,6938653797.0,20560000000,616943616,180224,2018-10-09T03:22:26.865815858Z,20815961391,270000000
21,626954240,7271564763.0,21550000000,626954240,180224,2018-10-09T03:22:27.869236997Z,21814694289,280000000
22,626954240,7604767314.0,22550000000,626954240,180224,2018-10-09T03:22:28.872057014Z,22814301942,280000000
