,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,133115904,172586930.33333334,490000000,133115904,180224,2018-10-08T21:06:37.260986865Z,517760791,30000000
1,246231040,506743535.6666667,1470000000,246231040,180224,2018-10-08T21:06:38.243546609Z,1520230607,50000000
2,405614592,838938779.3333334,2450000000,405614592,180224,2018-10-08T21:06:39.24633064Z,2516816338,70000000
3,492515328,1174566300.3333333,3430000000,492515328,180224,2018-10-08T21:06:40.249631398Z,3523698901,100000000
4,597635072,1508310959.3333333,4370000000,597635072,180224,2018-10-08T21:06:41.252133319Z,4524932878,160000000
5,730537984,1840759967.3333333,5360000000,730542080,180224,2018-10-08T21:06:42.255169107Z,5522279902,170000000
6,903413760,2174535726.3333335,6330000000,903421952,180224,2018-10-08T21:06:43.258584771Z,6523607179,200000000
7,1047199744,2510922963.3333335,7300000000,1047199744,180224,2018-10-08T21:06:44.261560995Z,7532768890,240000000
8,1110638592,2843785050.6666665,8280000000,1110638592,180224,2018-10-08T21:06:45.263574827Z,8531355152,260000000
9,1370161152,3176291919.0,9230000000,1370161152,180224,2018-10-08T21:06:46.26726627Z,9528875757,310000000
10,1370161152,3513270949.3333335,10240000000,1370161152,180224,2018-10-08T21:06:47.270964285Z,10539812848,310000000
11,1581039616,3846771645.3333335,11200000000,1581039616,180224,2018-10-08T21:06:48.273234046Z,11540314936,350000000
12,1691926528,4179484912.3333335,12190000000,1691926528,180224,2018-10-08T21:06:49.277986039Z,12538454737,360000000
13,1691914240,4516293750.333333,13200000000,1691926528,180224,2018-10-08T21:06:50.281991184Z,13548881251,360000000
14,1669595136,4849094457.333333,14160000000,1708298240,180224,2018-10-08T21:06:51.284610156Z,14547283372,400000000
15,1612718080,5182723900.333333,15160000000,1708298240,180224,2018-10-08T21:06:52.287561652Z,15548171701,400000000
16,1553317888,5518614272.333333,16150000000,1708298240,180224,2018-10-08T21:06:53.290026048Z,16555842817,420000000
17,1496174592,5852237260.666667,17150000000,1708298240,180224,2018-10-08T21:06:54.292196351Z,17556711782,420000000
18,1433018368,6185565296.0,18120000000,1708298240,180224,2018-10-08T21:06:55.294662637Z,18556695888,450000000
19,1375879168,6518755574.0,19110000000,1708298240,180224,2018-10-08T21:06:56.298083619Z,19556266722,460000000
20,1316732928,6854660548.0,20120000000,1708298240,180224,2018-10-08T21:06:57.300828039Z,20563981644,460000000
21,1259593728,7188289022.666667,21100000000,1708298240,180224,2018-10-08T21:06:58.302931025Z,21564867068,480000000
