,avg_memory_usage,iteration,max_cpu_usage,max_memory_usage,normalized_test,test_time,time_taken
0,355498393.6,0,4072417216,875327488,9.686943896823763,0.5210553407669067,5.047433853149414
1,552208384.0,1,3569996953,698519552,8.823055547056025,0.5142645835876465,4.537384986877441
2,525498368.0,2,3482596754,676024320,8.544809737759032,0.5200386047363281,4.443630933761597
3,431156224.0,3,3822341159,882188288,9.663877694783334,0.5053088665008545,4.883243083953857
4,591819776.0,4,3696698314,828395520,9.037004222355502,0.5155889987945557,4.659379959106445
5,560428032.0,5,3674103227,841891840,8.909339032896572,0.5207126140594482,4.63920521736145
6,442744832.0,6,3116444108,663711744,8.992417776593223,0.46874189376831055,4.215122938156128
7,523799552.0,7,3447831022,676532224,8.40306919399602,0.5250625610351562,4.412137031555176
8,543618048.0,8,3570154204,683073536,9.63029069121258,0.47193050384521484,4.544827938079834
9,551455744.0,9,3690161665,785002496,9.31904987512767,0.500713586807251,4.66617488861084
