,avg_memory_usage,iteration,max_cpu_usage,max_memory_usage,normalized_test,test_time,time_taken
0,8822710385.777779,0,179539198623,13793566720,374.94282366536794,0.48173606395721436,180.62348008155823
1,8874536799.82123,1,178935757333,13790527488,335.51390177067407,0.5363520383834839,179.95356512069702
2,8891825859.18232,2,180706384917,13790560256,348.39172766161,0.5223493576049805,181.98219513893127
3,8821378738.086956,3,183698796313,13790724096,380.5964351030167,0.485612154006958,184.82225465774536
4,8877721409.748634,4,183092922911,13790650368,330.36867768385093,0.5584214925765991,184.48497009277344
5,8903304113.23077,5,182536383112,13791617024,360.1210980681529,0.5105054378509521,183.84377884864807
6,8862635729.836065,6,183295461738,13790625792,363.64135278035195,0.5072249174118042,184.44795513153076
7,8861296696.574585,7,180801935606,13790674944,361.4941315569671,0.5028127431869507,181.76385593414307
8,8833182092.022099,8,180708140360,13790605312,367.8150859716848,0.49414658546447754,181.75456881523132
9,8861930547.486034,9,178750053008,13790547968,334.80678069738235,0.5388690233230591,180.41700291633606
