,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,99901440,201942416.33333334,440000000,99901440,434176,2018-10-08T22:18:08.099141449Z,605827249,140000000
1,89853952,922566077.6666666,1730000000,172527616,565248,2018-10-08T22:18:09.101388846Z,2767637728,910000000
2,159363072,1763979760.3333333,3250000000,329555968,696320,2018-10-08T22:18:10.104840504Z,5291939281,1930000000
3,122908672,2642884911.0,4850000000,329555968,843776,2018-10-08T22:18:11.107173056Z,7928654733,2970000000
4,136052736,3547098763.3333335,6480000000,329555968,1007616,2018-10-08T22:18:12.109427569Z,10641296290,4010000000
5,178044928,4437651040.666667,7860000000,359419904,1122304,2018-10-08T22:18:13.11522179Z,13312953122,5290000000
6,142938112,5375221061.0,9430000000,359419904,1138688,2018-10-08T22:18:14.117297427Z,16125663183,6500000000
7,147050496,6314965126.666667,11010000000,359419904,1302528,2018-10-08T22:18:15.120190485Z,18944843258,7640000000
8,129654784,7268568518.666667,12770000000,359419904,1449984,2018-10-08T22:18:16.123156686Z,21805705556,8750000000
9,111128576,8216394051.0,14340000000,359419904,1613824,2018-10-08T22:18:17.125144904Z,24649182153,10060000000
10,134172672,9154073393.666666,15940000000,359419904,1761280,2018-10-08T22:18:18.127276392Z,27462220181,11260000000
11,138629120,10117946495.666666,17710000000,359419904,1908736,2018-10-08T22:18:19.129912151Z,30353807230,12390000000
