,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,37404672,517577666.0,1410000000,61808640,274432,2018-10-08T22:17:14.75897777Z,1552732998,120000000
1,37253120,1463420191.3333333,3940000000,62259200,274432,2018-10-08T22:17:15.762318551Z,4390260574,360000000
2,39145472,2415907575.6666665,6490000000,62812160,274432,2018-10-08T22:17:16.764441302Z,7247646519,630000000
3,39358464,3369921539.6666665,9080000000,64929792,274432,2018-10-08T22:17:17.767326207Z,10109764619,920000000
4,39084032,4315332246.0,11610000000,64929792,274432,2018-10-08T22:17:18.769942971Z,12945996738,1200000000
5,38797312,5294029595.333333,14270000000,64929792,274432,2018-10-08T22:17:19.772457886Z,15882088786,1410000000
6,38227968,6257553787.0,16900000000,65036288,274432,2018-10-08T22:17:20.776144319Z,18772661361,1640000000
7,39661568,7214450721.333333,19500000000,65036288,274432,2018-10-08T22:17:21.777971422Z,21643352164,1870000000
8,39706624,8165926966.333333,21990000000,66109440,274432,2018-10-08T22:17:22.781084245Z,24497735934,2190000000
9,39501824,9113717496.0,24550000000,66109440,274432,2018-10-08T22:17:23.784437673Z,27341152488,2460000000
10,60645376,10076968733.0,27110000000,66207744,290816,2018-10-08T22:17:24.786679709Z,30230906199,2790000000
11,38715392,11032468125.666666,29770000000,66207744,274432,2018-10-08T22:17:25.790591622Z,33097371968,2990000000
12,40013824,11993701854.333334,32460000000,66207744,274432,2018-10-08T22:17:26.795785693Z,35981043224,3170000000
13,39747584,12960194772.333334,35110000000,66207744,274432,2018-10-08T22:17:27.79845514Z,38880584317,3400000000
14,40001536,13919565493.666666,37670000000,66207744,274432,2018-10-08T22:17:28.800532051Z,41758598660,3670000000
15,39813120,14886265611.333334,40280000000,66207744,274432,2018-10-08T22:17:29.802533211Z,44658796834,3890000000
16,40022016,15859289760.333334,42940000000,66207744,274432,2018-10-08T22:17:30.805190037Z,47577869281,4100000000
17,38965248,16791829540.0,45430000000,66207744,274432,2018-10-08T22:17:31.807955128Z,50375488620,4330000000
18,64700416,17743427851.333332,48050000000,66322432,290816,2018-10-08T22:17:32.810513187Z,53230283554,4550000000
19,39796736,18693159098.333332,50620000000,66322432,274432,2018-10-08T22:17:33.814463158Z,56079477295,4790000000
20,39743488,19663719809.0,53280000000,66322432,274432,2018-10-08T22:17:34.817675005Z,58991159427,5060000000
