,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,11776000,136276593.66666666,340000000,11776000,278528,2018-10-08T22:12:21.767128757Z,408829781,70000000
1,12288000,476211959.0,1300000000,12537856,278528,2018-10-08T22:12:22.768949775Z,1428635877,100000000
2,12689408,814167879.3333334,2300000000,12689408,278528,2018-10-08T22:12:23.771785814Z,2442503638,100000000
3,12615680,1153592307.6666667,3310000000,12689408,278528,2018-10-08T22:12:24.773427572Z,3460776923,100000000
4,12242944,1492596233.6666667,4310000000,12689408,278528,2018-10-08T22:12:25.775691608Z,4477788701,100000000
5,12427264,1832567430.6666667,5290000000,12742656,278528,2018-10-08T22:12:26.779019737Z,5497702292,110000000
6,12566528,2171194702.3333335,6280000000,12742656,278528,2018-10-08T22:12:27.781014177Z,6513584107,130000000
7,12537856,2510611448.6666665,7290000000,12742656,278528,2018-10-08T22:12:28.783374729Z,7531834346,140000000
8,12357632,2850617092.0,8270000000,12742656,278528,2018-10-08T22:12:29.785312381Z,8551851276,150000000
9,12771328,3190475796.0,9250000000,12787712,278528,2018-10-08T22:12:30.787307695Z,9571427388,160000000
10,12410880,3529744322.6666665,10230000000,12787712,278528,2018-10-08T22:12:31.789317257Z,10589232968,170000000
11,12296192,3869605688.0,11210000000,12787712,278528,2018-10-08T22:12:32.79203729Z,11608817064,190000000
12,12304384,4208031773.6666665,12210000000,12787712,278528,2018-10-08T22:12:33.794387088Z,12624095321,190000000
13,12591104,4546447142.666667,13200000000,12787712,278528,2018-10-08T22:12:34.796709259Z,13639341428,210000000
14,12677120,4885569004.333333,14200000000,12787712,278528,2018-10-08T22:12:35.799412234Z,14656707013,210000000
15,12283904,5225106386.0,15200000000,12787712,278528,2018-10-08T22:12:36.780706281Z,15675319158,210000000
16,12427264,5564241054.0,16190000000,12787712,278528,2018-10-08T22:12:37.782418613Z,16692723162,230000000
17,12365824,5902990976.0,17170000000,12787712,278528,2018-10-08T22:12:38.784687702Z,17708972928,250000000
18,12374016,6242143662.666667,18170000000,12787712,278528,2018-10-08T22:12:39.786702154Z,18726430988,250000000
19,12652544,6580401863.333333,19150000000,12787712,278528,2018-10-08T22:12:40.788730276Z,19741205590,250000000
20,12677120,6919668340.333333,20150000000,12787712,278528,2018-10-08T22:12:41.790427118Z,20759005021,250000000
21,12595200,7258139198.666667,21140000000,12787712,278528,2018-10-08T22:12:42.792136561Z,21774417596,260000000
22,12488704,7596933731.0,22120000000,12800000,278528,2018-10-08T22:12:43.794527743Z,22790801193,270000000
23,12513280,7936732586.0,23110000000,12881920,278528,2018-10-08T22:12:44.796539337Z,23810197758,300000000
24,12406784,8276024649.666667,24100000000,12881920,278528,2018-10-08T22:12:45.799264322Z,24828042356,330000000
25,12476416,8614464049.666666,25100000000,12881920,278528,2018-10-08T22:12:46.801772575Z,25843392149,330000000
26,12488704,8953622741.666666,26080000000,12881920,278528,2018-10-08T22:12:47.803835195Z,26860868225,330000000
27,12550144,9293644225.0,27080000000,12881920,278528,2018-10-08T22:12:48.807390489Z,27880932675,330000000
28,12533760,9632845479.333334,28080000000,12881920,278528,2018-10-08T22:12:49.809690426Z,28898536438,330000000
29,12349440,9970197835.0,29050000000,12881920,278528,2018-10-08T22:12:50.812920659Z,29910593505,330000000
30,12484608,10308457109.333334,30040000000,12881920,278528,2018-10-08T22:12:51.814936645Z,30925371328,340000000
31,12369920,10648726803.666666,31000000000,12881920,278528,2018-10-08T22:12:52.818214686Z,31946180411,390000000
32,12390400,10987976599.666666,31980000000,12881920,278528,2018-10-08T22:12:53.821230185Z,32963929799,400000000
33,12439552,11327405058.0,32980000000,12881920,278528,2018-10-08T22:12:54.823478998Z,33982215174,440000000
34,12500992,11666416467.333334,33970000000,12881920,278528,2018-10-08T22:12:55.825738049Z,34999218897,440000000
35,12369920,12005769730.333334,34920000000,12881920,278528,2018-10-08T22:12:56.827567045Z,36017309191,450000000
36,12398592,12347992067.666666,35890000000,12881920,278528,2018-10-08T22:12:57.829435947Z,37043976203,460000000
37,12492800,12687409201.333334,36880000000,12881920,278528,2018-10-08T22:12:58.831426489Z,38062227604,470000000
38,12554240,13038770687.666666,37880000000,12881920,278528,2018-10-08T22:12:59.833310058Z,39116312063,520000000
39,12767232,13377505244.0,38850000000,12881920,278528,2018-10-08T22:13:00.835900503Z,40132515732,560000000
40,12394496,13716137615.666666,39850000000,12881920,278528,2018-10-08T22:13:01.83813993Z,41148412847,560000000
41,12423168,14055133611.333334,40850000000,12881920,278528,2018-10-08T22:13:02.841071006Z,42165400834,560000000
42,12623872,14393963804.0,41850000000,12881920,278528,2018-10-08T22:13:03.843127284Z,43181891412,580000000
43,12439552,14733484480.666666,42870000000,12881920,278528,2018-10-08T22:13:04.844636105Z,44200453442,580000000
44,12521472,15072585704.666666,43820000000,12881920,278528,2018-10-08T22:13:05.847233083Z,45217757114,610000000
45,12709888,15410860188.0,44820000000,12881920,278528,2018-10-08T22:13:06.829044203Z,46232503980,620000000
46,12697600,15751022160.666666,45820000000,12881920,278528,2018-10-08T22:13:07.831632348Z,47253066482,630000000
47,12324864,16090196234.0,46800000000,12881920,278528,2018-10-08T22:13:08.833567851Z,48270588702,650000000
48,12480512,16429448693.0,47800000000,12881920,278528,2018-10-08T22:13:09.836182213Z,49288346079,650000000
49,12505088,16769343704.666666,48790000000,12881920,278528,2018-10-08T22:13:10.83873174Z,50308031114,650000000
50,12447744,17109216190.333334,49790000000,12881920,278528,2018-10-08T22:13:11.841625978Z,51327573300,650000000
51,12349440,17449127342.333332,50760000000,12881920,278528,2018-10-08T22:13:12.843932409Z,52347382027,680000000
52,12664832,17789323179.333332,51740000000,12881920,278528,2018-10-08T22:13:13.846855855Z,53367969538,700000000
53,12709888,18129266999.333332,52710000000,12881920,278528,2018-10-08T22:13:14.849352485Z,54387800998,730000000
54,12374016,18467930752.666668,53710000000,12881920,278528,2018-10-08T22:13:15.851420817Z,55403792258,730000000
